Comune,Pop_Comune_2030_Conservativo,Quota Popolazione 2030 Conservativo,EV Stimati (2030 - Conservativo),Domanda Mensile (kWh) - Conservativo,Domanda Annua (kWh) - Conservativo,Domanda Giornaliera (kWh) - Conservativo,Colonnine Necessarie - Conservativo,Comune_nome_match,n_esagoni,EV Stimati (2030 - Conservativo) per esagono,Domanda Giornaliera (kWh) - Conservativo per esagono,Domanda Mensile (kWh) - Conservativo per esagono,Domanda Annua (kWh) - Conservativo per esagono,Colonnine Necessarie - Conservativo per esagono
collebeato,4476,0.0035422237662955,141.6889506518214,25504.01111732785,306048.1334079342,838.4880367340663,1.5096243150133914,collebeato,8,17.711118831477673,104.81100459175829,3188.001389665981,38256.01667599178,0.18870303937667393
san paolo,4451,0.0035224392278332,140.89756911332822,25361.56244039908,304338.74928478897,833.8047925610657,1.5011925438169362,san paolo,19,7.415661532280432,43.88446276637188,1334.819075810478,16017.828909725735,0.0790101338851019
edolo,4413,0.0034923667293704,139.69466917481856,25145.04045146734,301740.48541760806,826.6862614181042,1.4883762515983234,edolo,113,1.2362360103966243,7.315807623169063,222.5224818713924,2670.2697824567085,0.013171471253082509
roè volciano,4375,0.0034622942309077,138.4917692363089,24928.5184625356,299142.2215504272,819.567730275143,1.4755599593797113,roè volciano,4,34.622942309077224,204.89193256878576,6232.1296156339,74785.5553876068,0.3688899898449278
marcheno,4182,0.0033095575939785,132.38230375914145,23828.81467664546,285945.7761197455,783.4130852595767,1.410466685743075,marcheno,38,3.4837448357668803,20.61613382262044,627.0740704380383,7524.888845256461,0.03711754436165987
vestone,4166,0.0032968954893626,131.8758195745058,23737.647523411048,284851.77028093254,780.4158089888563,1.4050703521773436,vestone,13,10.144293813423523,60.0319853068351,1825.9728864162344,21911.674636994812,0.10808233478287257
comezzano-cizzago,4123,0.0032628660832074,130.5146433282975,23492.63579909355,281911.6295891226,772.3606290112948,1.39056770571944,comezzano-cizzago,22,5.932483787649886,35.10730131869522,1067.8470817769796,12814.164981323755,0.06320762298724728
offlaga,4113,0.0032549522678225,130.19809071290024,23435.65632832204,281227.8759398645,770.4873313420945,1.387194997240858,offlaga,36,3.6166136309138954,21.402425870613737,650.9904535645011,7811.885442774013,0.03853319436780161
isorella,4080,0.0032288366770522,129.1534670820892,23247.624074776057,278971.48889731267,764.3054490337333,1.3760650592615364,isorella,15,8.610231138805947,50.95369660224889,1549.8416049850705,18598.099259820843,0.09173767061743576
sabbio chiese,4025,0.0031853106924351,127.41242769740418,22934.236985532752,275210.843826393,754.0023118531316,1.3575151626293342,sabbio chiese,24,5.308851154058508,31.416762993880482,955.5932077305314,11467.118492766376,0.05656313177622226
