Comune,Pop_Comune_2030_Ottimistico,Quota Popolazione 2030 Ottimistico,EV Stimati (2030 - Ottimistico),Domanda Mensile (kWh) - Ottimistico,Domanda Annua (kWh) - Ottimistico,Domanda Giornaliera (kWh) - Ottimistico,Colonnine Necessarie - Ottimistico,Comune_nome_match,n_esagoni,EV Stimati (2030 - Ottimistico) per esagono,Domanda Giornaliera (kWh) - Ottimistico per esagono,Domanda Mensile (kWh) - Ottimistico per esagono,Domanda Annua (kWh) - Ottimistico per esagono,Colonnine Necessarie - Ottimistico per esagono
bovezzo,7418,0.0058126323278895,348.75793967337046,62776.42914120668,753317.1496944802,2063.8826019026856,3.7158399674980274,bovezzo,7,49.82256281048149,294.8403717003836,8968.06130588667,107616.73567064003,0.5308342810711467
corte franca,7281,0.0057052812050907,342.31687230544765,61617.037014980575,739404.4441797669,2025.765600492512,3.6472136429432647,corte franca,20,17.115843615272382,101.2882800246256,3080.851850749029,36970.22220898834,0.18236068214716322
adro,7258,0.005687258753818,341.235525229081,61422.394541234586,737068.734494815,2019.3663958762052,3.635692435171297,adro,19,17.959764485741108,106.28244188822133,3232.7576074333992,38793.09128920079,0.19135223343006827
provaglio d'iseo,7246,0.0056778557357626,340.6713441457593,61320.84194623668,735850.1033548402,2016.02768042422,3.629681370246793,provaglio d'iseo,23,14.811797571554752,87.6533774097487,2666.123562879856,31993.48275455827,0.157812233488991
pontevico,7106,0.0055681538584501,334.089231507006,60136.06167126108,721632.7400551329,1977.076000151049,3.559552279460903,pontevico,43,7.769517011790837,45.97851163141974,1398.5130621223507,16782.156745468208,0.0827802855688582
pontoglio,7053,0.0055266238620389,331.5974317223352,59687.537710020326,716250.4525202439,1962.330006904778,3.5330034093776748,pontoglio,16,20.72483948264595,122.64562543154862,3730.4711068762704,44765.653282515246,0.22081271308610467
passirano,6993,0.0054796087717621,328.77652630572663,59179.77473503079,710157.2968203695,1945.636429644848,3.502948084755151,passirano,21,15.65602506217746,92.6493537926118,2818.0845111919425,33817.01413430331,0.16680705165500717
castelcovati,6978,0.0054678549991929,328.0712999515745,59052.833991283405,708634.0078954009,1941.4630353298653,3.4954342535995195,castelcovati,9,36.45236666128605,215.7181150366517,6561.4259990314895,78737.11198837787,0.38838158373327997
prevalle,6903,0.0054090861363468,324.5451681808138,58418.130272546485,701017.5632705578,1920.5960637549529,3.457865097821365,prevalle,16,20.284073011300862,120.03725398468455,3651.1331420341553,43813.59770440986,0.21611656861383532
torbole casaglia,6537,0.0051222940856583,307.3376451395016,55320.776125110286,663849.3135013235,1818.7652424693792,3.2745276176239693,torbole casaglia,17,18.078685008205976,106.98619073349289,3254.1633014770755,39049.95961772491,0.19261927162493936
