Comune,Pop_tot,Quota Popolazione,EV Stimati (Attuali),Domanda Mensile (kWh) - Attuali,Domanda Annua (kWh) - Attuali,Domanda Giornaliera (kWh) - Attuali,Colonnine Necessarie - Attuali
Odolo,1917,0.0015246642477766308,15.246642477766308,2744.3956459979354,32932.74775197523,90.22670616979515,0.16244528667102642
Corteno Golgi,1910,0.0015190968770231429,15.190968770231429,2734.374378641657,32812.49254369989,89.89723984575312,0.16185211139366742
Idro,1879,0.0014944413779719818,14.944413779719818,2689.9944803495673,32279.933764194808,88.43817469642413,0.15922519230822044
Ceto,1773,0.0014101354779905927,14.101354779905927,2538.243860383067,30458.926324596803,83.44911321807344,0.1502428238224986
Milzano,1749,0.0013910473496929197,13.910473496929196,2503.8852294472554,30046.622753367064,82.31951439278647,0.1482090800144106
Ponte di Legno,1739,0.0013830939629022228,13.830939629022227,2489.569133224001,29874.82959868801,81.84884821558359,0.14736168676104064
Brandico,1733,0.0013783219308278044,13.783219308278044,2480.979475490048,29771.753705880576,81.56644850926185,0.14685325080901865
Agnosine,1654,0.0013154901751812975,13.154901751812975,2367.8823153263356,28414.587783916028,77.84818570935899,0.1401588441073958
Monte Isola,1621,0.001289243998771997,12.89243998771997,2320.6391977895946,27847.670373475135,76.29498732458941,0.1373624463712748
Lodrino,1617,0.0012860626440557182,12.860626440557182,2314.9127593002927,27778.953111603514,76.10672085370825,0.1370234890699268
Casto,1607,0.001278109257265021,12.781092572650211,2300.596663077038,27607.159956924457,75.63605467650537,0.13617609581655682
Acquafredda,1525,0.001212891485581305,12.12891485581305,2183.2046740463493,26198.45608855619,71.77659202344162,0.12922747113892294
Berzo Demo,1505,0.001196984711999911,11.969847119999109,2154.5724815998396,25854.869779198074,70.83525966903582,0.12753268463218295
Maclodio,1487,0.0011826686157766562,11.826686157766563,2128.803508397981,25545.642100775774,69.98806055007061,0.12600737677611698
Preseglie,1476,0.0011739198903068895,11.739198903068894,2113.055802552401,25356.669630628814,69.47032775514744,0.12507524419741
Ossimo,1471,0.0011699431969115408,11.699431969115407,2105.8977544407735,25270.773053289282,69.23499466654597,0.124651547570725
Vezza d'Oglio,1465,0.0011651711648371227,11.651711648371228,2097.308096706821,25167.69716048185,68.95259496022425,0.12414311161870302
Cigole,1453,0.001155627100688286,11.556271006882861,2080.128781238915,24961.545374866982,68.38779554758078,0.12312623971465905
Pezzaze,1452,0.0011548317620092164,11.548317620092163,2078.6971716165895,24944.36605939907,68.34072892986048,0.12304150038932203
Corzano,1429,0.001136538972390613,11.36538972390613,2045.7701503031035,24549.24180363724,67.2581967222938,0.12109249590657103
Seniga,1409,0.001120632198809219,11.20632198809219,2017.1379578565943,24205.655494279134,66.31686436788803,0.1193977093998311
Vallio Terme,1406,0.0011182461827720098,11.182461827720099,2012.8431289896178,24154.117547875412,66.17566451472716,0.1191434914238201
Sellero,1387,0.0011031347478696854,11.031347478696855,1985.642546165434,23827.710553985205,65.28139877804166,0.11753344424241713
Villachiara,1362,0.0010832512808929427,10.832512808929428,1949.852305607297,23398.227667287563,64.10473333503442,0.11541496110899217
Bione,1305,0.0010379169761859694,10.379169761859693,1868.2505571347447,22419.006685616936,61.421936124977904,0.11058481956478322
Sonico,1204,0.0009575877695999287,9.575877695999287,1723.6579852798716,20683.89582335846,56.668207735228656,0.10202614770574636
Tavernole sul Mella,1203,0.000956792430920859,9.56792430920859,1722.2263756575464,20666.716507890556,56.62114111750837,0.10194140838040937
Tignale,1158,0.0009210021903627222,9.210021903627222,1657.8039426528999,19893.6473118348,54.50314332009534,0.09812813874024444
Barghe,1137,0.0009043000781022583,9.043000781022583,1627.7401405840649,19532.88168700878,53.514744347969256,0.09634861290816746
Temù,1131,0.00089952804602784,8.9952804602784,1619.150482850112,19429.805794201344,53.232344641647515,0.09584017695614545
Limone sul Garda,1127,0.0008963466913115612,8.963466913115612,1613.42404436081,19361.08853232972,53.044078170766355,0.09550121965479746
Cedegolo,1095,0.0008708958535813305,8.708958535813306,1567.612536446395,18811.35043735674,51.5379464037171,0.09278956124401352
Zone,1021,0.0008120407913301722,8.120407913301722,1461.6734243943101,17540.08109273172,48.05501669241568,0.08651885116907564
